stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\wamp64\www\Environnement-3D-en-cpp-avec-Allegro\build\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.03262] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03264] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03266] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03268] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03269] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03271] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03273] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03275] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03277] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03279] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03281] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03283] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03285] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03287] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03288] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03290] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03292] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03294] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03296] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03298] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03300] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03302] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03304] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03308] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03310] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03312] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03314] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03316] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03318] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03320] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03321] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03325] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03329] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03331] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03333] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03335] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03336] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03339] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03340] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03342] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03344] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03346] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03348] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03350] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03352] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03354] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03355] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03357] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03361] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03363] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03367] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03369] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03372] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03373] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03375] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03377] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03379] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03381] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03383] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03385] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03387] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03388] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03391] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03392] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03394] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03396] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03398] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03400] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03402] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03404] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03406] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03407] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03409] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03411] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03413] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03415] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.03417] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03419] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03421] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.03423] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.03425] Single Buffer requirement not met.
